subject,metric,roi,mean,sd,nvox
M87100419,L1,JHU_CgC_L,0.001209,0.000217,2228
M87100419,MD,JHU_CgC_L,0.000768,0.000147,2228
M87100419,RD,JHU_CgC_L,0.000548,0.000141,2228
M87100419,L1,JHU_CgC_R,0.001151,0.000242,2231
M87100419,MD,JHU_CgC_R,0.000750,0.000201,2231
M87100419,RD,JHU_CgC_R,0.000550,0.000196,2231
M87100419,L1,JHU_UF_R,0.001061,0.000099,2469
M87100419,MD,JHU_UF_R,0.000624,0.000049,2469
M87100419,RD,JHU_UF_R,0.000406,0.000077,2469
M87100419,L1,JHU_UF_L,0.001081,0.000115,2515
M87100419,MD,JHU_UF_L,0.000663,0.000060,2515
M87100419,RD,JHU_UF_L,0.000454,0.000060,2515
M87102777,L1,JHU_CgC_L,0.001097,0.000167,2228
M87102777,MD,JHU_CgC_L,0.000705,0.000123,2228
M87102777,RD,JHU_CgC_L,0.000509,0.000127,2228
M87102777,L1,JHU_CgC_R,0.001146,0.000258,2231
M87102777,MD,JHU_CgC_R,0.000750,0.000213,2231
M87102777,RD,JHU_CgC_R,0.000552,0.000211,2231
M87102777,L1,JHU_UF_R,0.000980,0.000109,2469
M87102777,MD,JHU_UF_R,0.000597,0.000078,2469
M87102777,RD,JHU_UF_R,0.000406,0.000083,2469
M87102777,L1,JHU_UF_L,0.001026,0.000111,2515
M87102777,MD,JHU_UF_L,0.000641,0.000059,2515
M87102777,RD,JHU_UF_L,0.000448,0.000059,2515
M87103423,L1,JHU_CgC_L,0.001174,0.000165,2228
M87103423,MD,JHU_CgC_L,0.000790,0.000118,2228
M87103423,RD,JHU_CgC_L,0.000598,0.000122,2228
M87103423,L1,JHU_CgC_R,0.001170,0.000179,2231
M87103423,MD,JHU_CgC_R,0.000790,0.000162,2231
M87103423,RD,JHU_CgC_R,0.000600,0.000179,2231
M87103423,L1,JHU_UF_R,0.001009,0.000118,2469
M87103423,MD,JHU_UF_R,0.000609,0.000080,2469
M87103423,RD,JHU_UF_R,0.000409,0.000088,2469
M87103423,L1,JHU_UF_L,0.001029,0.000106,2515
M87103423,MD,JHU_UF_L,0.000665,0.000060,2515
M87103423,RD,JHU_UF_L,0.000483,0.000056,2515
M87104357,L1,JHU_CgC_L,0.001163,0.000185,2228
M87104357,MD,JHU_CgC_L,0.000771,0.000137,2228
M87104357,RD,JHU_CgC_L,0.000575,0.000134,2228
M87104357,L1,JHU_CgC_R,0.001201,0.000270,2231
M87104357,MD,JHU_CgC_R,0.000822,0.000243,2231
M87104357,RD,JHU_CgC_R,0.000633,0.000246,2231
M87104357,L1,JHU_UF_R,0.001057,0.000140,2469
M87104357,MD,JHU_UF_R,0.000646,0.000091,2469
M87104357,RD,JHU_UF_R,0.000441,0.000100,2469
M87104357,L1,JHU_UF_L,0.001079,0.000111,2515
M87104357,MD,JHU_UF_L,0.000681,0.000062,2515
M87104357,RD,JHU_UF_L,0.000482,0.000073,2515
M87104386,L1,JHU_CgC_L,0.001197,0.000106,2228
M87104386,MD,JHU_CgC_L,0.000750,0.000073,2228
